W,K,beta,delta_s,is_canonical,admissible,boundary,violation,compression_ratio,max_residual_norm_sq
16,2,0.6,0.05,False,19038,1357,149,0.07330607476635514,3510.4484291194285
16,2,0.6,0.1,False,19044,1353,147,0.07301401869158879,3510.4484291194285
16,2,0.7,0.02,False,19792,608,144,0.03660436137071651,3510.4484291194285
16,2,0.7,0.05,False,19792,608,144,0.03660436137071651,3510.4484291194285
16,2,0.7,0.1,False,19793,607,144,0.03655568535825545,3510.4484291194285
16,3,0.3,0.02,False,11462,8917,165,0.44207554517133957,3510.4484291194285
16,3,0.3,0.05,False,11561,8818,165,0.4372566199376947,3510.4484291194285
16,3,0.3,0.1,False,11713,8666,165,0.4298578660436137,3510.4484291194285
16,3,0.4,0.02,False,15718,4653,173,0.23491043613707166,3510.4484291194285
16,3,0.4,0.05,False,15767,4604,173,0.23252531152647976,3510.4484291194285
16,3,0.4,0.1,False,15869,4503,172,0.2275603582554517,3510.4484291194285
16,3,0.5,0.02,False,17973,2403,168,0.12514602803738317,3510.4484291194285
16,3,0.5,0.05,False,17997,2379,168,0.12397780373831775,3510.4484291194285
16,3,0.5,0.1,False,18032,2346,166,0.12227414330218069,3510.4484291194285
16,3,0.6,0.02,False,19348,1047,149,0.05821651090342679,3510.4484291194285
16,3,0.6,0.05,False,19353,1042,149,0.0579731308411215,3510.4484291194285
16,3,0.6,0.1,False,19363,1034,147,0.0574863707165109,3510.4484291194285
16,3,0.7,0.02,False,19970,430,144,0.027940031152647975,3510.4484291194285
16,3,0.7,0.05,False,19970,430,144,0.027940031152647975,3510.4484291194285
16,3,0.7,0.1,False,19972,428,144,0.027842679127725856,3510.4484291194285
16,4,0.3,0.02,False,11899,8480,165,0.4208041277258567,3510.4484291194285
16,4,0.3,0.05,False,12012,8367,165,0.415303738317757,3510.4484291194285
16,4,0.3,0.1,False,12192,8187,165,0.40654205607476634,3510.4484291194285
16,4,0.4,0.02,False,15988,4383,173,0.22176791277258567,3510.4484291194285
16,4,0.4,0.05,False,16033,4338,173,0.219577492211838,3510.4484291194285
16,4,0.4,0.1,False,16142,4230,172,0.21427180685358255,3510.4484291194285
16,4,0.5,0.02,False,18094,2282,168,0.11925623052959501,3510.4484291194285
16,4,0.5,0.05,False,18121,2255,168,0.11794197819314642,3510.4484291194285
16,4,0.5,0.1,False,18157,2221,166,0.11618964174454828,3510.4484291194285
16,4,0.6,0.02,False,19397,998,149,0.05583138629283489,3510.4484291194285
16,4,0.6,0.05,False,19402,993,149,0.0555880062305296,3510.4484291194285
16,4,0.6,0.1,False,19412,985,147,0.055101246105919,3510.4484291194285
16,4,0.7,0.02,False,19977,423,144,0.027599299065420562,3510.4484291194285
16,4,0.7,0.05,False,19977,423,144,0.027599299065420562,3510.4484291194285
16,4,0.7,0.1,False,19979,421,144,0.027501947040498444,3510.4484291194285
16,6,0.3,0.02,False,12237,8142,165,0.4043516355140187,3510.4484291194285
16,6,0.3,0.05,False,12368,8011,165,0.39797507788161995,3510.4484291194285
16,6,0.3,0.1,False,12565,7814,165,0.3883859034267913,3510.4484291194285
16,6,0.4,0.02,False,16115,4256,173,0.21558605919003115,3510.4484291194285
16,6,0.4,0.05,False,16163,4208,173,0.2132496105919003,3510.4484291194285
16,6,0.4,0.1,False,16278,4094,172,0.2076518691588785,3510.4484291194285
16,6,0.5,0.02,False,18142,2234,168,0.11691978193146417,3510.4484291194285
16,6,0.5,0.05,False,18169,2207,168,0.11560552959501558,3510.4484291194285
16,6,0.5,0.1,False,18206,2172,166,0.11380451713395638,3510.4484291194285
16,6,0.6,0.02,False,19410,985,149,0.055198598130841124,3510.4484291194285
16,6,0.6,0.05,False,19415,980,149,0.05495521806853582,3510.4484291194285
16,6,0.6,0.1,False,19425,972,147,0.054468457943925234,3510.4484291194285
16,6,0.7,0.02,False,19981,419,144,0.027404595015576325,3510.4484291194285
